alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
stone-arch-brewpub-appleton,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'breweries', 'title': 'Breweries'}]","{'latitude': 44.25328, 'longitude': -88.40295}",(920) 731-3322,8823.983057859721,ceIKAJphvaR2Lqq2gF0cMQ,https://s3-media2.fl.yelpcdn.com/bphoto/22bSDy29O6OBWxlM0ZpvUA/o.jpg,False,"{'address1': '1004 S Olde Oneida St', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54915', 'country': 'US', 'state': 'WI', 'display_address': ['1004 S Olde Oneida St', 'Appleton, WI 54915']}",Stone Arch Brewpub,+19207313322,$$,4.0,252,[],https://www.yelp.com/biz/stone-arch-brewpub-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
sap-appleton,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 44.2694866, 'longitude': -88.4760631}",(920) 257-2194,14065.14836525817,iXspXrg_5gHS58cS-wRXxA,https://s3-media4.fl.yelpcdn.com/bphoto/D_czSiZf4IrGcNuElMYvMg/o.jpg,False,"{'address1': '708 N Casaloma Dr', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54913', 'country': 'US', 'state': 'WI', 'display_address': ['708 N Casaloma Dr', 'Appleton, WI 54913']}",SAP,+19202572194,$$,4.5,313,[],https://www.yelp.com/biz/sap-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
carmellas-appleton,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.269692, 'longitude': -88.4760685}",(920) 882-4044,14068.817974860503,B1719aFAOD_m9kgZMIq9RA,https://s3-media3.fl.yelpcdn.com/bphoto/CoJK0qZxdrgXuHCAhCKVCQ/o.jpg,False,"{'address1': '716 N Casaloma Dr', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54913', 'country': 'US', 'state': 'WI', 'display_address': ['716 N Casaloma Dr', 'Appleton, WI 54913']}",Carmella's,+19208824044,$$,4.5,312,[],https://www.yelp.com/biz/carmellas-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-cozzy-corner-appleton,"[{'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 44.26237, 'longitude': -88.41191}",(920) 364-9563,10049.305478946302,_hCjnaUZp9S5dXo8oZY9Jg,https://s3-media3.fl.yelpcdn.com/bphoto/toBNXuiu9sU-gFQ5YDsZcQ/o.jpg,False,"{'address1': '111 N Walnut St', 'address2': None, 'address3': None, 'city': 'Appleton', 'zip_code': '54915', 'country': 'US', 'state': 'WI', 'display_address': ['111 N Walnut St', 'Appleton, WI 54915']}",The Cozzy Corner,+19203649563,$$,4.0,185,"['delivery', 'pickup']",https://www.yelp.com/biz/the-cozzy-corner-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
apollon-appleton,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 44.2632141113281, 'longitude': -88.4075317382812}",(920) 739-1122,9942.342177518662,9J7tqCmHqjq-AL7Jo44V9A,https://s3-media1.fl.yelpcdn.com/bphoto/RwmfakF6hf_D7fvunwXxzw/o.jpg,False,"{'address1': '207 N Appleton St', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54911', 'country': 'US', 'state': 'WI', 'display_address': ['207 N Appleton St', 'Appleton, WI 54911']}",Apollon,+19207391122,$$$,4.5,86,[],https://www.yelp.com/biz/apollon-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mais-deli-appleton,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.26143, 'longitude': -88.41515}",(920) 733-7900,10104.973007265837,iXx1JQPBVLmOB5FBXrsJqg,https://s3-media4.fl.yelpcdn.com/bphoto/rcrBWoIq6EPQ2OOxoQqWCw/o.jpg,False,"{'address1': '104 S Memorial Dr', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54911', 'country': 'US', 'state': 'WI', 'display_address': ['104 S Memorial Dr', 'Appleton, WI 54911']}",Mai's Deli,+19207337900,$,4.5,123,[],https://www.yelp.com/biz/mais-deli-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
copper-rock-coffee-company-appleton,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.2619905787415, 'longitude': -88.4078166607816}",(920) 882-9462,9837.579072405566,-q0Q084Bb6BU16j0MxFu8Q,https://s3-media2.fl.yelpcdn.com/bphoto/V3IuRfDRn_RVKeJ_lwEVPQ/o.jpg,False,"{'address1': '210 W College Ave', 'address2': 'Ste B', 'address3': '', 'city': 'Appleton', 'zip_code': '54911', 'country': 'US', 'state': 'WI', 'display_address': ['210 W College Ave', 'Ste B', 'Appleton, WI 54911']}",Copper Rock Coffee Company,+19208829462,$,4.5,124,[],https://www.yelp.com/biz/copper-rock-coffee-company-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
houdinis-escape-gastropub-appleton,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 44.251151, 'longitude': -88.403904}",(920) 574-2616,8658.3792652031,Hzz1V2Xc6rcOv5Nc8YHS1A,https://s3-media1.fl.yelpcdn.com/bphoto/MyX9u4r4Xh4S9XWWGJML5w/o.jpg,False,"{'address1': '1216 S Oneida St', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54915', 'country': 'US', 'state': 'WI', 'display_address': ['1216 S Oneida St', 'Appleton, WI 54915']}",Houdini's Escape Gastropub,+19205742616,$$,4.0,212,[],https://www.yelp.com/biz/houdinis-escape-gastropub-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
basil-cafe-appleton-2,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.27515, 'longitude': -88.41611}",(920) 830-6741,11434.72796495296,Cv42OEUaLOhBZDq4CF3iYA,https://s3-media2.fl.yelpcdn.com/bphoto/PVX8cUwNFPrGkRtztqk74g/o.jpg,False,"{'address1': '1513 N Richmond St', 'address2': None, 'address3': '', 'city': 'Appleton', 'zip_code': '54911', 'country': 'US', 'state': 'WI', 'display_address': ['1513 N Richmond St', 'Appleton, WI 54911']}",Basil Cafe,+19208306741,$$,4.5,164,[],https://www.yelp.com/biz/basil-cafe-appleton-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mi-casa-mexican-grill-appleton,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.242237, 'longitude': -88.416414}",(920) 731-6200,8518.348173365597,zt1jwf009-hAoFwznEtP1A,https://s3-media3.fl.yelpcdn.com/bphoto/JMY2gkAJxtlFWvnxJElTvg/o.jpg,False,"{'address1': '2190 South Memorial Dr', 'address2': '', 'address3': '', 'city': 'Appleton', 'zip_code': '54915', 'country': 'US', 'state': 'WI', 'display_address': ['2190 South Memorial Dr', 'Appleton, WI 54915']}",Mi Casa Mexican Grill,+19207316200,$$,4.5,80,[],https://www.yelp.com/biz/mi-casa-mexican-grill-appleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
